District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD,missing_frac,missing_count
BENSENVILLE SD 2,42.349999999999994,33.95,28.1,34.45,25.2,19.3,31.549999999999997,20.299999999999997,18.058885802102232,0.1,1.0
BENTON CCSD 47,43.9,38.9,27.3,32.0,28.0,19.7,53.57513885221619,50.8843014515754,38.04738252490248,0.3,3.0
BERKELEY SD 87,31.75,30.25,10.654893259839206,28.35,25.950000000000003,21.9,18.55,15.45,12.61741877602145,0.2,2.0
BERWYN NORTH SD 98,49.1,47.833333333333336,27.95,38.9,36.666666666666664,24.0,28.6,26.433333333333337,7.671143741179456,0.1,1.0
BERWYN SOUTH SD 100,44.75,39.766666666666666,23.939869070386017,37.833333333333336,34.36666666666667,20.066129716392123,37.02,33.833333333333336,27.905045079435823,0.3,3.0
BETHALTO CUSD 8,42.85,32.0,25.8,35.5,28.4,37.02154889876036,38.8,27.3,50.59859682020707,0.2,2.0
BETHEL SD 82,48.5,45.2,26.934020487296138,30.0,27.8,24.510230373085278,35.1,29.697343410322087,24.42264838523782,0.4,4.0
BETTY SHABAZZ INTERNATIONAL CHARTER SCHOOL,44.3,44.3,8.220452897133157,20.95,20.95,1.192330773282283,25.2,25.2,9.477658486937495,0.3,3.0
BIG HOLLOW SD 38,42.4,29.1,28.54589441160985,40.4,28.4,28.169835433094438,49.06658640160082,36.59332273984319,56.961781383552434,0.5,5.0
BISMARCK HENNING CUSD,33.9,17.9,32.391619822897724,41.5,28.6,34.12983268763549,50.58359124154524,30.142039960972586,53.64123849877255,0.5,5.0
BLOOMINGDALE SD 13,72.75,63.2,34.4,58.75,52.6,44.6,61.75,54.97034095954202,35.28281744066314,0.2,2.0
BLOOMINGTON SD 87,38.6,30.116666666666664,24.5,28.5,20.616666666666667,26.8,40.675,46.55,20.31316299799678,0.1,1.0
BLUE RIDGE CUSD 18,48.849999999999994,43.6,30.8,38.3,30.65,15.4,30.5,27.3,26.94403653616903,0.1,1.0
BLUFORD UNIT SCHOOL DISTRICT 318,38.7,26.9,22.933951855858723,19.1,12.001604611910178,21.561627672858627,24.0,14.252608629347643,31.139961943494498,0.5,5.0
BOND COUNTY CUSD 2,65.6,56.150000000000006,27.1,44.349999999999994,35.95,2.7413980690944975,56.6,43.9,18.423829473089967,0.2,2.0
BOURBONNAIS SD 53,50.625,43.06666666666666,33.75,49.475,39.1,34.2,32.9,27.4,25.8,0.0,0.0
BRACEVILLE SD 75,27.3,30.8,6.000758950629031,18.4,25.129010725280015,14.241286743934877,16.100750679461505,20.97407058583541,36.127588059385786,0.6,6.0
BRADFORD CUSD 1,58.8,53.3,49.13304000599558,54.9,46.7,55.851322020520485,48.83981046811295,34.64397604332993,48.06004874577746,0.5,5.0
BRADLEY SD 61,41.1,36.9,19.1,28.6,27.4,18.1,31.0,31.7,28.41812601209116,0.1,1.0
BREESE ESD 12,78.0,69.4,29.4,53.9,40.9,31.844931050464687,46.2,27.54187419604491,27.865599749407842,0.3,3.0
BRIMFIELD CUSD 309,54.7,32.1,35.76927274640784,45.5,20.4,33.963590018528116,54.2,27.216136884700603,50.474703083564236,0.4,4.0
BROOKFIELD LAGRANGE PARK SD 95,62.6,46.3,26.3,47.1,26.3,20.0,46.6,34.87961625281437,34.4,0.1,1.0
BROOKLYN UD 188,39.647565137525405,36.76596675707569,12.85384602475358,29.667884416742936,19.291634454405454,11.740827948201439,35.66373141534961,22.311741438416703,26.069871233068998,0.9,9.0
BROOKWOOD SD 167,27.0,25.2,17.201100136565966,23.4,18.6,22.315140147633407,16.9,17.6,33.525147264118864,0.3,3.0
BROWN COUNTY CUSD 1,42.7,28.3,18.7243711308217,46.3,30.4,19.639310122186032,45.573774520902944,38.10586923250763,24.075149841852642,0.5,5.0
BROWNSTOWN CUSD 201,47.0,38.4,27.11504109119854,24.2,20.5,20.055604257204166,26.3,34.40537958048539,36.13484621383033,0.4,4.0
BRUSSELS CUSD 42,30.791087249423395,27.42961280713418,29.977291656637476,29.480704234451082,30.698456313065513,38.44484119831218,39.965978746865076,47.9918780124839,67.11820381643756,0.9,9.0
BUNCOMBE CONS SD 43,37.5,37.8,2.136642381987503,30.0,29.7,8.257163061488944,32.5380036741984,35.18399920721996,7.929969639351308,0.5,5.0
BUNKER HILL CUSD 8,56.5,43.2,33.248245777665616,22.4,14.4,9.093642656493062,54.8,34.2,40.80279018044408,0.3,3.0
BURBANK SD 111,48.98333333333333,47.55,25.977945056558134,33.166666666666664,30.866666666666664,22.65367374611923,28.316666666666663,26.1,22.36110681664647,0.3,3.0
BUREAU VALLEY CUSD 340,62.0,53.5,30.9,47.2,33.0,16.4,53.8,41.9,26.48263784125499,0.1,1.0
BURNHAM SD 154-5,37.1,37.2,25.15983807958384,19.6,20.2,11.447357491021204,17.852100127916298,20.40130926381158,15.227364657321889,0.5,5.0
BUSHNELL PRAIRIE CITY CUSD 170,17.6,26.720480913256054,15.448269794330503,16.7,23.823181605439434,10.290258218848443,18.760461635768646,15.976408151266947,35.19763359456398,0.7,7.0
BUTLER SD 53,84.6,75.36512702160272,45.8,79.9,75.54363684576941,62.5,87.5,72.75522478307447,46.1252105830933,0.4,4.0
BYRON CUSD 226,68.9,58.0,25.0,70.5,58.0,32.1,63.0,58.1,28.94709589301802,0.1,1.0
CAHOKIA CUSD 187,15.233333333333333,13.2,-4.10339686690282,8.733333333333334,9.3,7.005232694787685,17.997199844136222,21.05170693829877,17.433262072548846,0.5,5.0
CAIRO USD 1,21.9875951686707,27.985144861859254,19.628233206856,8.895549868282552,24.270443841834346,20.17194381926951,16.664084464435614,22.317150470753482,27.191624478835337,0.9,9.0
CALHOUN CUSD 40,45.7,32.0,32.492972747511594,40.1,33.3,32.3,39.0,33.3,36.387991035119924,0.2,2.0
CALUMET CITY SD 155,20.1,21.0,-2.4927058651396496,13.4,13.8,-8.942274798505114,19.964178668765513,21.13466333453686,10.88365315868778,0.5,5.0
CALUMET PUBLIC SD 132,31.45,33.75,23.82043276333337,7.9,8.466392889012003,15.517808350045357,13.4,13.35662202323282,21.131895129528935,0.5,5.0
CAMBRIDGE CUSD 227,71.0,72.1,50.08330893407043,61.3,55.8,45.638844862664534,67.7,62.83941525545715,76.53177547347762,0.4,4.0
CANTON UNION SD 66,48.36666666666667,36.36666666666667,14.996242708514067,50.03333333333333,39.833333333333336,33.88698314003572,50.6826050104365,41.76931803538993,60.80455967074307,0.5,5.0
CARBON CLIFF-BARSTOW SD 36,21.7,21.7,29.562106187482453,9.6,9.6,12.596087356254243,27.3,27.3,45.57381785794174,0.3,3.0
CARBONDALE ESD 95,27.25,19.05,12.200406939555933,16.45,8.75,8.317033318369125,26.0,12.8,27.232753194266227,0.3,3.0
CARLINVILLE CUSD 1,64.6,58.0,46.0,51.2,41.2,38.0,41.3,31.4,40.86912731958609,0.1,1.0
CARLYLE CUSD 1,54.7,45.1,35.876131086513126,51.4,41.5,36.81955823349621,57.658574440098526,46.21979319893108,57.71741183461273,0.5,5.0
CARMI-WHITE COUNTY CUSD 5,66.19999999999999,51.2,32.7,72.15,63.55,58.7,54.8,32.6,52.72125526022897,0.1,1.0
CARRIER MILLS-STONEFORT CUSD 2,46.2,42.0,3.331602644972924,9.7,8.394518763304793,5.610591829709071,20.0,11.365036933930558,18.500932301020484,0.5,5.0
CARROLLTON CUSD 1,35.0,30.3,24.3,25.9,22.2,32.84647848165893,30.2,25.896174129547628,54.36345160958332,0.3,3.0
CARTERVILLE CUSD 5,71.65,59.15,31.1,68.85,56.85,30.0,52.3,47.0,20.945347164337786,0.1,1.0
CARTHAGE ESD 317,35.6,34.3,17.30303994276982,24.1,21.265801813622097,17.12186624524669,31.124013251400783,20.182114631476523,40.42476128607912,0.6,6.0
CARY CCSD 26,60.56666666666666,45.3,30.766666666666666,51.13333333333333,34.4,33.0,52.4,29.4,39.93187421615279,0.1,1.0
CASEY-WESTFIELD CUSD 4C,54.4,48.6,29.2194510254434,41.7,28.8,29.865392580756442,36.1,23.968245232547506,21.20292560189175,0.4,4.0
CASS SD 63,68.2,41.7,36.7,69.3,41.7,43.880697787620306,76.57113362435801,52.01838586681375,38.74619350909067,0.4,4.0
CCSD 146,61.6,52.775,33.349999999999994,51.85,43.05,35.2,37.325,46.2,50.71033224905828,0.1,1.0
CCSD 168,25.6,24.8,28.006237118402467,7.6,7.8,23.972664635474715,10.7,19.124701917409837,54.339506814504404,0.4,4.0
CCSD 180,35.2,33.4,2.557455643813311,33.1,31.0,9.549631124172182,47.22265208169737,45.79331120523462,17.230806167382852,0.5,5.0
CCSD 204,48.8,44.4,37.158394198464784,28.5,28.9,24.210919738803284,47.6,39.70866645966998,47.605145720112965,0.4,4.0
CCSD 62,62.14444444444444,53.84444444444445,42.84,53.8,45.98888888888889,36.975,44.9375,49.833333333333336,41.6893692577401,0.1,1.0
CCSD 89,67.75,44.7,41.0,67.5,35.6,49.7,57.65,27.10798830773308,31.17696730215163,0.2,2.0
CCSD 93,54.028571428571425,37.55714285714286,23.866666666666664,43.285714285714285,28.142857142857142,19.5,48.1,31.85,41.54156039202502,0.1,1.0
CENTER CASS SD 66,53.2,34.3,29.8,59.8,42.9,33.2,52.8,34.9123444778442,27.901770047803012,0.2,2.0
CENTRAL A & M CUD 21,52.5,43.3,51.64778469212805,43.9,25.0,45.440874126468145,45.2,41.2710180967738,61.468525608883105,0.4,4.0
CENTRAL CITY SD 133,58.8,53.8,26.0,30.4,23.8,5.4404673268956145,48.1,41.0,25.959417710144916,0.2,2.0
CENTRAL CUSD 3,56.3,45.1,23.615503267815964,45.2,39.2,31.4725132653611,60.75714893445901,55.63074932657758,20.743791939496568,0.5,5.0
CENTRAL CUSD 301,73.35,56.075,42.725,61.025000000000006,40.6,34.325,60.349999999999994,41.7,26.544370391293445,0.1,1.0
CENTRAL CUSD 4,54.6,48.7,38.57159692151208,62.5,60.3,44.186057215224324,53.2013439290571,62.49102184113961,54.18283519676102,0.5,5.0
CENTRAL SD 104,37.2,27.0,34.31631616560814,47.8,30.6,41.781229701371835,56.758190180675896,42.47454692453804,50.48230958018762,0.5,5.0
CENTRAL SD 51,68.6,50.2,38.15,56.9,30.549999999999997,28.35,70.5,50.0,34.6,0.0,0.0
CENTRAL STICKNEY SD 110,59.9,57.8,40.182636486765105,49.4,43.1,24.57627155177688,32.1,30.3,34.2146949747435,0.3,3.0
CENTRALIA SD 135,32.7,32.75,13.5,21.95,21.95,-4.607861040868073,24.0,24.1,6.393882362241849,0.2,2.0
CENTURY CUSD 100,42.9,35.6,23.66813198970911,21.90285931145932,17.49147607600265,19.301317689488496,38.04968670031385,41.62767777151552,47.54923396322079,0.7,7.0
CERRO GORDO CUSD 100,52.8,48.1,17.54250360650572,38.7,27.8,23.039877291217415,36.8,33.44988493234895,28.18786035187137,0.4,4.0
CHADWICK-MILLEDGEVILLE CUSD 399,70.2,66.7,53.535524677739026,65.5,61.9,49.979500530990165,65.01898581780117,59.040889421690075,44.660584923496145,0.5,5.0
CHAMPAIGN CUSD 4,36.4,21.433333333333337,25.933333333333337,32.35,17.972727272727273,22.15,37.111111111111114,33.2,43.672706542177856,0.1,1.0
CHANEY-MONGE SD 88,33.1,31.6,19.217193647353874,13.9,13.8,1.4942252296941625,23.8,22.5,14.592071000791595,0.3,3.0
CHANNAHON SD 17,66.5,53.651904869267895,30.75,65.9,50.86014671689131,39.5,51.0,36.226888161955806,27.981292334919903,0.4,4.0
CHARLESTON CUSD 1,47.5,31.65,25.97611926711608,36.65,23.200000000000003,34.73828931503894,29.5,17.6,20.401906650678505,0.3,3.0
CHESTER CUSD 139,44.8,36.5,20.5,24.9,21.3,12.01656599476085,31.0,28.1,35.72110492936264,0.2,2.0
CHESTER-EAST LINCOLN CCSD 61,72.6,61.7,40.88764339244411,49.2,41.9,56.73951280026533,52.2,40.5,52.65065852173076,0.3,3.0
CHICAGO HEIGHTS SD 170,45.71111111111111,46.24444444444444,17.798911071156773,34.31111111111111,34.68888888888889,16.13202534348016,36.1,36.1,39.30755941522651,0.3,3.0
CHICAGO PUBLIC SCHOOLS DISTRICT 299,38.706896551724135,34.898060344827584,29.040522875816993,25.35734597156398,21.576691729323308,24.516964285714288,33.74033333333333,27.640167364016737,36.45,0.0,0.0
CHICAGO RIDGE SD 127-5,38.75,36.05,24.05,28.6,25.35,22.8,29.4,27.72323687002731,35.80123967432044,0.2,2.0
CHRISTOPHER USD 99,51.0,43.2,13.3,15.0,10.8,3.4596628532988314,48.4,40.8,31.280728847226275,0.2,2.0
CICERO SD 99,32.324999999999996,31.133333333333336,13.8,28.375,27.566666666666663,19.5,25.544444444444444,25.333333333333332,27.442483194414365,0.1,1.0
CISSNA PARK CUSD 6,62.3,45.8,41.726451845941476,59.0,45.8,43.310808960060584,44.94448221201893,34.61434784751505,37.46006514555053,0.5,5.0
CLAY CITY CUSD 10,35.7,30.464855897675193,37.91348158458176,28.6,27.54578415766368,32.95102088204498,25.306995317093243,26.54787253472586,16.146940885123104,0.7,7.0
CLINTON CUSD 15,57.2,42.7,26.5,43.0,26.8,25.9,43.9,35.1,38.05108367938347,0.1,1.0
COAL CITY CUSD 1,66.1,56.75,42.9,55.349999999999994,38.150000000000006,28.6,58.5,47.9,47.63599442854181,0.1,1.0
COBDEN SUD 17,55.2,56.7,37.06637984075905,39.6,40.0,32.53470474174624,56.7,59.3,57.86010362981826,0.3,3.0
COLLINSVILLE CUSD 10,44.8875,39.3375,15.7,40.1625,34.1625,7.4,32.1,22.6,16.203205542897777,0.1,1.0
COLONA SD 190,38.9,39.0,38.13968373830246,25.8,22.2,38.731980143655235,36.8,33.04095107499811,64.71818293291169,0.4,4.0
COLUMBIA CUSD 4,81.3,78.4,40.7,83.7,64.9,51.9,64.20667681448248,62.46617517079735,45.841084555492635,0.3,3.0
COMM CONS SD 59,45.22727272727273,36.06363636363636,33.54,41.61818181818182,31.218181818181815,37.05,44.85,33.760000000000005,63.44390644408591,0.1,1.0
COMMUNITY UNIT SCHOOL DISTRICT NO 196,52.4,49.0,41.35804778507974,37.8,34.3,33.7829274058458,49.2,51.3,39.357121630675394,0.3,3.0
COOK COUNTY SD 130,37.542857142857144,32.357142857142854,27.5,27.271428571428572,23.442857142857143,52.4,20.25,18.35,47.77444613126374,0.1,1.0
CORNELL CCSD 426,60.0,40.0,41.598753838966765,30.0,18.4622013832315,25.37543808094422,62.101774212697094,46.9875154960595,46.535891965006876,0.6,6.0
COULTERVILLE USD 1,31.7,28.606067572208133,5.653802383312687,48.8,46.4,27.034800629620943,29.028964711331916,13.855069249664044,17.50302555342038,0.6,6.0
COUNTRY CLUB HILLS SD 160,28.4,24.6,17.880718632911435,12.2,8.9,15.849271940233159,20.0,18.4,45.841643578327535,0.3,3.0
COUNTY OF UNION SCH DIST NO43,79.3,78.0,55.6,58.1,49.0,55.6,49.3,36.8,51.98880516124649,0.1,1.0
COUNTY OF WINNEBAGO SD 320,29.0,30.1,4.8047036171857265,22.3,31.0,5.513340552279286,14.9,20.82751830150323,3.904311965238417,0.4,4.0
COWDEN-HERRICK CUSD 3A,75.3,72.7,56.5,50.6,40.9,31.02956045123434,67.9,57.30427142553479,66.41486473613539,0.3,3.0
CRAB ORCHARD CUSD 3,57.2,51.2,33.13529375123852,38.7,26.8,19.50769604330308,54.7,36.84742892453238,45.215039013707695,0.4,4.0
CRESCENT IROQUOIS CUSD 249,50.0,41.212125527643586,29.91471790165624,26.863208309832437,22.378153278099543,19.428694765278713,45.99819230410816,36.06885796385932,43.97982949697944,0.8,8.0
CRESTON CCSD 161,66.0,56.26556466285964,20.012140409898624,70.2,52.6,22.498507642956355,50.0,36.08026675963798,-1.9780943896463903,0.5,5.0
CRETE MONEE CUSD 201U,36.78,32.86,39.3,21.24,18.04,28.666981109420217,25.25,14.7,52.68171892093128,0.2,2.0
CREVE COEUR SD 76,40.4,40.3,25.305027319059956,27.0,23.6,23.05383967966532,32.23233090983379,30.66122834717664,31.76978069742965,0.5,5.0
CRYSTAL LAKE CCSD 47,56.388888888888886,43.97777777777778,29.58888888888889,44.766666666666666,29.77777777777778,26.299999999999997,45.63333333333333,23.6,23.132112185998476,0.1,1.0
CUMBERLAND CUSD 77,47.5,42.5,41.57669830326107,56.0,50.0,47.79345929675835,39.24281838520083,35.25476809896545,52.51176235030465,0.5,5.0
CUSD 200,73.83076923076922,52.00909090909091,49.475,68.34615384615384,46.11,45.81666666666666,57.638461538461534,31.35,50.0,0.0,0.0
CUSD 201,75.9,67.4,63.5,71.6,54.7,58.1,54.7,36.7,39.3,0.0,0.0
CUSD 3 FULTON COUNTY,53.8,37.1,30.364206759120762,39.7,34.3,39.118444681028265,59.572087623819755,51.239000061143216,55.74240630076683,0.5,5.0
CUSD 300,49.43157894736842,41.38947368421052,25.53846153846154,45.252631578947366,36.13157894736842,26.936363636363637,40.705882352941174,29.55454545454546,39.7,0.0,0.0
CUSD 308,58.27692307692307,43.607692307692304,28.5,47.43846153846154,31.258333333333336,27.714285714285715,49.26923076923077,44.8,47.8,0.0,0.0
CUSD 4,60.8,57.2,28.2,49.099999999999994,41.65,18.729576821555064,40.8,32.7,26.118077576114032,0.2,2.0
CYPRESS SD 64,36.7,37.9,30.622713301773814,33.3,30.951206101360572,22.468162983709444,47.03903846734306,39.28450795143429,37.42840423684768,0.6,6.0
DAKOTA CUSD 201,47.6,37.5,23.91088700469427,45.3,39.8,26.2,39.3,34.136964945766174,30.265215913869028,0.3,3.0
DALLAS ESD 327,48.4,46.5,20.09076860074213,34.4,38.0,14.640313926811405,51.6,45.5,12.107722349678902,0.3,3.0
DALZELL SD 98,65.4,54.28966891452429,29.87522146437496,52.98995530052102,38.558689311655996,29.554682720294913,47.5193070922291,45.670981644758506,29.085167217679867,0.8,8.0
DAMIANSVILLE SD 62,97.1,85.76628229793293,94.1,82.6,60.680972798888035,64.7,94.1,78.08405094374203,80.28361609888269,0.4,4.0
DANVILLE CCSD 118,25.75,24.083333333333332,12.943982090568669,19.666666666666668,17.95,9.446271046710882,34.6,38.4163938511761,37.153527909404204,0.4,4.0
DARIEN SD 61,62.6,48.4,25.4,58.3,37.5,23.7,41.7,21.55421306343784,12.716044278838936,0.2,2.0
DECATUR SD 61,18.57,16.0,21.733522365264477,8.7625,6.585714285714286,24.311842026542152,21.92,17.55,56.37451760254884,0.3,3.0
DEER CREEK-MACKINAW CUSD 701,68.45,61.25,30.950000000000003,45.55,36.5,24.867681765482637,65.4,52.8,17.835381626217497,0.2,2.0
DEER PARK CCSD 82,80.0,83.25885263014202,38.30104702139555,50.0,53.24062135914476,29.541063536708982,49.76272986072844,43.045619143391754,15.791769659410653,0.7,7.0
DEERFIELD SD 109,80.875,69.0,61.175,76.8,54.164395038662626,57.75,58.575,44.67352625526544,47.96666666666667,0.2,2.0
DEKALB CUSD 428,26.2875,19.6,14.5,21.85,16.2,19.292466895634387,26.225,29.122770910693017,47.071457137046266,0.3,3.0
DELAND-WELDON CUSD 57,55.3,52.4,33.93842160294173,34.2,23.10001130661987,21.06927203347572,44.47083384319075,38.23981193101295,39.361044822496424,0.6,6.0
DELAVAN CUSD 703,40.8,31.0,13.785963849440405,25.2,26.2,6.685307288441341,39.4,37.36853413692622,14.554669970260301,0.4,4.0
DEPUE USD 103,17.2,14.9,7.772274821313503,8.6,12.424599200790658,19.330514468849444,12.286867394723192,25.2018191226877,30.981473095761682,0.6,6.0
DESOTO CONS SD 86,36.3,31.3,7.020878774998967,17.7,18.50583365754249,2.896172270347714,32.3,19.814885454387756,8.768858588414687,0.5,5.0
DIAMOND LAKE SD 76,35.4,20.4,23.246835759915093,30.0,15.6,20.4,33.8,20.0,33.53326481164645,0.2,2.0
DIETERICH CUSD 30,70.9,60.0,42.819545429829155,67.0,44.0,33.10855462858654,76.2,58.32025992566696,33.861339810736666,0.4,4.0
